交易时间,市场状态,风险等级,综合评分,日线评分,120分钟,60分钟,30分钟,总金额(万亿),预测总金额(万亿),上涨比例,平均涨幅,平均量比,操作建议
"2025-11-26 15:00:00","弱势反弹阶段","高","3.2","1.2","2.0","6.9","7.7","1.78","1.83","32.8%","0.81%","0.99","反弹减仓，控制仓位，不追高"
"2025-11-25 15:00:00","偏弱整理阶段","中高","2.2","0.2","0.7","6.0","7.5","1.81","1.82","81.1%","1.37%","0.99","轻仓观望，等待明确信号"
"2025-11-24 15:00:00","极端下跌阶段","极高","0.7","0.0","0.6","1.1","2.8","1.73","1.79","79.3%","0.79%","0.94","空仓观望，可小仓位博弈超跌反弹（严格止损）"
"2025-11-21 15:00:00","极端下跌阶段","极高","0.3","0.3","0.3","0.3","0.3","1.97","2.00","6.4%","-3.30%","1.06","空仓观望，可小仓位博弈超跌反弹（严格止损）"
"2025-11-20 15:00:00","极端下跌阶段","极高","0.6","0.7","0.5","0.5","0.7","1.71","1.69","27.7%","-0.81%","0.89","空仓观望，可小仓位博弈超跌反弹（严格止损）"
"2025-11-19 15:00:00","极端下跌阶段","极高","0.9","1.0","0.7","0.6","1.3","1.73","1.76","22.8%","-0.29%","0.88","空仓观望，可小仓位博弈超跌反弹（严格止损）"
"2025-11-18 15:00:00","极端下跌阶段","极高","1.1","1.2","1.4","0.7","0.5","1.93","1.91","24.2%","-0.69%","0.97","空仓观望，可小仓位博弈超跌反弹（严格止损）"
"2025-11-17 15:00:00","极端下跌阶段","极高","1.8","2.0","2.3","0.9","1.5","1.91","1.85","49.6%","-0.18%","0.94","空仓观望，可小仓位博弈超跌反弹（严格止损）"
"2025-11-14 15:00:00","单边下跌阶段","极高","2.3","2.6","2.7","1.2","1.9","1.96","1.90","38.3%","-1.80%","0.96","空仓观望，严格止损"
"2025-11-13 15:00:00","中性震荡阶段","中等","6.0","4.6","6.1","7.2","8.5","2.04","2.12","74.0%","1.54%","1.00","观望为主，等待方向选择"
"2025-11-12 15:00:00","单边下跌阶段","极高","2.6","3.1","3.2","1.2","1.8","1.95","1.94","32.3%","-0.36%","0.96","空仓观望，严格止损"
"2025-11-11 15:00:00","趋势反转确认阶段","高","3.2","3.5","4.3","2.1","1.3","1.99","2.01","52.6%","-0.92%","0.99","清仓离场，等待机会，不抄底"
"2025-11-10 15:00:00","中性震荡阶段","中等","5.0","4.3","5.0","5.8","6.7","2.17","2.13","64.1%","0.03%","1.09","观望为主，等待方向选择"
"2025-11-07 15:00:00","中性震荡阶段","中等","5.0","4.0","4.5","6.7","7.3","2.00","2.02","40.7%","-0.51%","0.97","观望为主，等待方向选择"
"2025-11-06 15:00:00","中性震荡阶段","中等","6.0","5.0","5.8","7.1","8.2","2.06","2.07","56.6%","1.69%","0.96","观望为主，等待方向选择"
"2025-11-05 15:00:00","单边下跌阶段","极高","2.5","2.7","2.8","1.3","2.7","1.87","1.96","63.8%","0.27%","0.85","空仓观望，严格止损"
"2025-11-04 15:00:00","单边下跌阶段","极高","2.2","2.6","2.8","1.3","0.6","1.92","1.95","31.8%","-1.43%","0.85","空仓观望，严格止损"
"2025-11-03 15:00:00","中性震荡阶段","中等","4.3","4.6","5.2","3.2","2.6","2.11","2.08","67.8%","0.10%","0.92","观望为主，等待方向选择"
"2025-10-31 15:00:00","中性震荡阶段","中等","5.2","5.6","7.2","3.0","2.0","2.32","2.29","69.9%","-1.08%","1.04","观望为主，等待方向选择"
"2025-10-30 15:00:00","中性震荡阶段","中等","6.5","7.8","8.6","2.9","2.6","2.42","2.41","23.2%","-1.24%","1.17","观望为主，等待方向选择"
"2025-10-29 15:00:00","趋势反转确认阶段","低中","8.4","7.7","8.5","9.4","8.6","2.26","2.31","47.9%","1.44%","1.16","逐步建仓，顺势而为，回调加仓"
"2025-10-28 15:00:00","中性震荡阶段","中等","7.2","6.5","7.9","8.9","4.8","2.15","2.24","45.6%","-0.36%","1.13","观望为主，等待方向选择"
"2025-10-27 15:00:00","趋势启动阶段","中等","7.0","5.4","6.5","9.5","9.4","2.34","2.25","65.5%","1.41%","1.32","逐步建仓，回调加仓"
"2025-10-24 15:00:00","中性震荡阶段","中等","5.7","4.0","4.8","9.0","8.8","1.97","1.98","56.8%","2.28%","1.11","观望为主，等待方向选择"
"2025-10-23 15:00:00","偏弱整理阶段","中高","3.6","2.4","2.9","5.5","6.8","1.64","1.60","58.2%","-0.01%","0.90","轻仓观望，等待明确信号"
"2025-10-22 15:00:00","偏弱整理阶段","中高","3.5","2.2","2.8","5.1","7.2","1.67","1.62","42.3%","-0.46%","0.87","轻仓观望，等待明确信号"
"2025-10-21 15:00:00","偏弱整理阶段","中高","3.7","2.3","3.1","5.0","8.4","1.87","1.95","86.0%","2.09%","0.91","轻仓观望，等待明确信号"
"2025-10-20 15:00:00","极端下跌阶段","极高","1.5","1.5","1.5","1.0","2.4","1.74","1.67","76.6%","0.97%","0.80","空仓观望，可小仓位博弈超跌反弹（严格止损）"
"2025-10-17 15:00:00","极端下跌阶段","极高","1.3","1.5","1.7","0.4","0.6","1.94","1.96","11.3%","-3.06%","0.84","空仓观望，可小仓位博弈超跌反弹（严格止损）"
"2025-10-16 15:00:00","趋势反转确认阶段","高","2.9","2.8","2.5","3.0","4.1","1.93","1.99","22.5%","-0.37%","0.80","清仓离场，等待机会，不抄底"
"2025-10-15 15:00:00","单边下跌阶段","极高","2.9","2.8","2.9","2.6","3.4","2.07","2.14","82.0%","1.75%","0.84","空仓观望，严格止损"
"2025-10-14 15:00:00","极端下跌阶段","极高","1.7","1.8","2.2","1.1","0.6","2.58","2.65","32.1%","-2.59%","1.09","空仓观望，可小仓位博弈超跌反弹（严格止损）"
"2025-10-13 15:00:00","单边下跌阶段","极高","2.8","3.3","3.3","1.5","2.0","2.35","2.23","31.8%","-0.35%","1.01","空仓观望，严格止损"
"2025-10-10 15:00:00","趋势反转确认阶段","高","4.0","4.9","4.7","2.1","1.8","2.52","2.45","51.4%","-2.98%","1.09","清仓离场，等待机会，不抄底"
"2025-10-09 15:00:00","偏强整理阶段","中低","8.7","8.4","9.0","9.2","7.6","2.65","2.60","59.3%","1.31%","1.20","持股观望，等待明确信号"
"2025-09-30 15:00:00","中性震荡阶段","中等","7.7","7.6","7.3","8.3","7.8","2.18","2.18","51.3%","0.80%","0.96","观望为主，等待方向选择"
"2025-09-29 15:00:00","中性震荡阶段","中等","6.5","6.7","6.3","6.6","5.8","2.16","2.26","68.6%","1.66%","0.95","观望为主，等待方向选择"
"2025-09-26 15:00:00","中性震荡阶段","中等","4.3","5.3","4.8","2.5","2.3","2.15","2.08","34.9%","-1.71%","0.88","观望为主，等待方向选择"
"2025-09-25 15:00:00","中性震荡阶段","中等","7.8","7.8","6.8","8.9","8.2","2.37","2.31","28.5%","0.49%","0.97","观望为主，等待方向选择"
"2025-09-24 15:00:00","中性震荡阶段","中等","7.3","6.9","6.9","7.9","8.9","2.33","2.41","84.0%","1.98%","0.95","观望为主，等待方向选择"
"2025-09-23 15:00:00","中性震荡阶段","中等","3.8","5.1","3.4","2.5","2.8","2.49","2.40","21.3%","-0.40%","1.02","观望为主，等待方向选择"
"2025-09-22 15:00:00","中性震荡阶段","中等","4.8","6.0","4.5","3.6","2.9","2.12","2.08","41.6%","0.96%","0.85","观望为主，等待方向选择"
"2025-09-19 15:00:00","中性震荡阶段","中等","4.0","5.6","4.0","2.2","1.6","2.32","2.24","36.5%","-0.37%","0.96","观望为主，等待方向选择"
"2025-09-18 15:00:00","中性震荡阶段","中等","6.0","7.1","6.8","4.5","2.5","3.14","3.36","18.6%","-0.78%","1.37","观望为主，等待方向选择"
"2025-09-17 15:00:00","中性震荡阶段","中等","7.7","7.6","7.1","8.7","7.7","2.38","2.40","47.2%","1.02%","1.03","观望为主，等待方向选择"
"2025-09-16 15:00:00","中性震荡阶段","中等","6.7","6.6","6.9","7.2","5.7","2.34","2.38","69.4%","0.56%","1.02","观望为主，等待方向选择"
"2025-09-15 15:00:00","中性震荡阶段","中等","6.5","6.0","6.9","8.6","3.6","2.28","2.18","35.5%","0.31%","0.99","观望为主，等待方向选择"
"2025-09-12 15:00:00","中性震荡阶段","中等","6.2","5.0","5.9","9.1","5.6","2.52","2.49","37.1%","-0.18%","1.09","观望为主，等待方向选择"
"2025-09-11 15:00:00","中性震荡阶段","中等","6.1","4.9","4.7","9.2","9.2","2.44","2.55","80.6%","3.32%","1.02","观望为主，等待方向选择"
"2025-09-10 15:00:00","趋势反转确认阶段","高","3.2","2.8","3.0","3.6","4.7","1.98","1.96","48.2%","0.41%","0.80","清仓离场，等待机会，不抄底"
"2025-09-09 15:00:00","单边下跌阶段","极高","2.6","2.5","2.4","2.5","3.4","2.12","2.17","25.0%","-1.47%","0.83","空仓观望，严格止损"
"2025-09-08 15:00:00","中性震荡阶段","中等","5.0","4.4","4.2","6.1","7.9","2.42","2.28","76.0%","0.44%","0.94","观望为主，等待方向选择"
"2025-09-05 15:00:00","中性震荡阶段","中等","4.5","4.6","4.2","5.1","3.8","2.30","2.34","91.2%","3.59%","0.83","观望为主，等待方向选择"
"2025-09-04 15:00:00","单边下跌阶段","极高","2.4","3.0","3.0","1.0","0.6","2.54","2.55","42.0%","-3.24%","0.92","空仓观望，严格止损"
"2025-09-03 15:00:00","中性震荡阶段","中等","4.2","5.7","4.9","1.6","1.0","2.36","2.45","15.2%","-0.65%","0.81","观望为主，等待方向选择"
"2025-09-02 15:00:00","中性震荡阶段","中等","5.5","7.5","6.2","2.3","1.7","2.87","2.87","21.0%","-2.07%","0.98","观望为主，等待方向选择"
"2025-09-01 15:00:00","偏强整理阶段","中低","8.6","9.0","8.6","7.9","8.0","2.75","2.62","60.9%","1.12%","0.94","持股观望，等待明确信号"
"2025-08-29 15:00:00","顶部衰竭阶段","高","7.7","9.0","8.1","5.9","4.4","2.80","2.71","37.0%","0.46%","1.02","减仓为主，落袋为安，不追高"
"2025-08-28 15:00:00","高位震荡阶段","中高","7.6","9.2","9.0","4.1","3.7","2.97","3.07","54.5%","2.63%","1.10","逐步减仓，锁定利润，警惕反转"
"2025-08-27 15:00:00","中性震荡阶段","中等","6.4","8.4","8.0","2.4","1.6","3.17","3.35","12.0%","-1.30%","1.19","观望为主，等待方向选择"
"2025-08-26 15:00:00","偏强整理阶段","中低","9.0","9.5","9.5","8.9","6.0","2.68","2.65","53.9%","-0.33%","1.01","持股观望，等待明确信号"
"2025-08-25 15:00:00","高潮行情阶段","低中","9.6","9.6","9.6","9.6","9.1","3.14","3.09","64.9%","2.20%","1.24","持股但警惕回调，逐步减仓锁定利润"
"2025-08-22 15:00:00","强势上涨阶段","极低","9.4","9.6","9.7","9.0","9.0","2.55","2.60","55.4%","2.79%","1.06","持股为主，回调加仓"
"2025-08-21 15:00:00","高位震荡阶段","中高","8.1","9.5","9.1","6.0","4.1","2.42","2.33","41.8%","-0.26%","1.04","逐步减仓，锁定利润，警惕反转"
"2025-08-20 15:00:00","偏强整理阶段","中低","8.6","9.6","9.4","7.1","5.6","2.41","2.43","70.3%","1.04%","1.07","持股观望，等待明确信号"
"2025-08-19 15:00:00","中性震荡阶段","中等","8.5","9.5","9.4","7.2","4.6","2.59","2.55","56.2%","-0.29%","1.18","观望为主，等待方向选择"
"2025-08-18 15:00:00","强势上涨阶段","极低","9.6","9.6","9.8","9.7","8.7","2.76","2.76","75.8%","1.87%","1.33","持股为主，回调加仓"
"2025-08-15 15:00:00","高潮行情阶段","低中","9.6","9.6","9.7","9.5","9.1","2.24","2.32","87.3%","1.73%","1.18","持股但警惕回调，逐步减仓锁定利润"
"2025-08-14 15:00:00","高位震荡阶段","中高","7.9","9.2","8.9","6.0","3.1","2.28","2.26","14.0%","-0.75%","1.25","逐步减仓，锁定利润，警惕反转"
"2025-08-13 15:00:00","强势上涨阶段","极低","9.1","8.6","9.4","9.6","8.9","2.15","2.24","53.4%","1.61%","1.25","持股为主，回调加仓"
"2025-08-12 15:00:00","趋势反转确认阶段","低中","7.6","6.2","7.8","9.3","8.9","1.88","1.89","40.8%","0.67%","1.11","逐步建仓，顺势而为，回调加仓"
"2025-08-11 15:00:00","中性震荡阶段","中等","6.8","5.9","6.4","8.6","8.2","1.83","1.85","80.0%","1.38%","1.09","观望为主，等待方向选择"
"2025-08-08 15:00:00","中性震荡阶段","中等","4.5","5.4","4.9","3.1","2.4","1.71","1.69","47.6%","-0.54%","0.99","观望为主，等待方向选择"
"2025-08-07 15:00:00","中性震荡阶段","中等","6.3","6.0","5.7","7.2","7.2","1.83","1.81","40.7%","-0.14%","1.06","观望为主，等待方向选择"
"2025-08-06 15:00:00","中性震荡阶段","中等","6.7","6.0","6.0","8.0","9.0","1.73","1.77","64.3%","0.74%","1.00","观望为主，等待方向选择"
"2025-08-05 15:00:00","中性震荡阶段","中等","5.4","5.4","4.9","5.9","6.3","1.60","1.57","75.8%","0.59%","0.92","观望为主，等待方向选择"
"2025-08-04 15:00:00","趋势反转确认阶段","高","3.9","4.7","4.1","2.3","3.2","1.50","1.46","75.6%","0.81%","0.84","清仓离场，等待机会，不抄底"
"2025-08-01 15:00:00","趋势反转确认阶段","高","2.9","4.0","3.1","1.5","1.1","1.60","1.59","63.7%","-0.26%","0.86","清仓离场，等待机会，不抄底"
"2025-07-31 15:00:00","中性震荡阶段","中等","4.8","7.5","4.4","1.7","1.3","1.94","1.95","19.8%","-1.30%","1.06","观望为主，等待方向选择"
"2025-07-30 15:00:00","高位震荡阶段","中高","7.6","9.6","9.1","3.8","2.4","1.84","1.90","32.8%","-0.76%","1.02","逐步减仓，锁定利润，警惕反转"
"2025-07-29 15:00:00","偏强整理阶段","中低","9.1","9.6","9.6","8.3","7.3","1.80","1.81","43.3%","1.01%","0.99","持股观望，等待明确信号"
"2025-07-28 15:00:00","偏强整理阶段","中低","8.8","9.6","9.4","7.7","6.4","1.74","1.73","54.1%","0.51%","0.95","持股观望，等待明确信号"
"2025-07-25 15:00:00","偏强整理阶段","中低","8.7","9.6","9.5","7.2","5.3","1.79","1.77","49.2%","0.14%","1.06","持股观望，等待明确信号"
"2025-07-24 15:00:00","强势上涨阶段","极低","9.4","9.6","9.6","9.1","8.8","1.84","1.88","82.8%","1.14%","1.13","持股为主，回调加仓"
"2025-07-23 15:00:00","中性震荡阶段","中等","8.4","9.6","9.2","7.4","3.3","1.86","1.88","24.5%","-0.07%","1.19","观望为主，等待方向选择"
"2025-07-22 15:00:00","偏强整理阶段","中低","9.4","9.6","9.7","9.2","8.0","1.89","1.95","47.6%","0.61%","1.24","持股观望，等待明确信号"
"2025-07-21 15:00:00","强势上涨阶段","极低","9.5","9.6","9.4","9.5","9.3","1.70","1.69","75.4%","0.68%","1.13","持股为主，回调加仓"
"2025-07-18 15:00:00","偏强整理阶段","中低","9.4","9.6","9.3","9.4","8.5","1.57","1.52","51.6%","0.36%","1.02","持股观望，等待明确信号"
"2025-07-17 15:00:00","偏强整理阶段","中低","9.1","9.3","9.3","9.0","8.1","1.54","1.61","69.5%","1.27%","1.00","持股观望，等待明确信号"
"2025-07-16 15:00:00","顶部衰竭阶段","高","7.9","9.4","8.5","5.9","4.5","1.44","1.36","63.9%","0.91%","0.96","减仓为主，落袋为安，不追高"
"2025-07-15 15:00:00","中性震荡阶段","中等","6.2","8.2","7.2","2.5","3.0","1.08","1.74","12.5%","-0.50%","1.18","观望为主，等待方向选择"
"2025-07-14 15:00:00","高位震荡阶段","中高","8.0","9.5","9.2","4.8","4.9","1.46","1.37","60.3%","-0.06%","1.00","逐步减仓，锁定利润，警惕反转"
"2025-07-11 15:00:00","偏强整理阶段","中低","9.1","9.2","9.6","8.6","7.8","1.71","1.76","56.6%","0.73%","1.25","持股观望，等待明确信号"
"2025-07-10 15:00:00","顶部衰竭阶段","高","7.8","8.8","8.3","6.1","5.6","1.49","1.51","56.4%","0.24%","1.08","减仓为主，落袋为安，不追高"
"2025-07-09 15:00:00","偏强整理阶段","中低","8.6","9.3","8.7","8.0","6.3","1.51","1.51","36.8%","-0.23%","1.09","持股观望，等待明确信号"
"2025-07-08 15:00:00","偏强整理阶段","中低","9.5","9.6","9.6","9.6","8.3","1.45","1.53","81.2%","1.33%","1.05","持股观望，等待明确信号"
"2025-07-07 15:00:00","中性震荡阶段","中等","5.9","8.2","6.3","2.7","1.8","1.21","1.17","63.2%","-0.48%","0.85","观望为主，等待方向选择"
"2025-07-04 15:00:00","中性震荡阶段","中等","7.9","9.1","8.7","6.3","3.8","1.43","1.46","23.0%","-0.18%","0.97","观望为主，等待方向选择"
"2025-07-03 15:00:00","偏强整理阶段","中低","8.7","9.5","9.2","7.7","5.7","1.31","1.32","64.4%","0.95%","0.88","持股观望，等待明确信号"
"2025-07-02 15:00:00","高位震荡阶段","中高","7.3","9.4","8.8","3.2","2.4","1.38","1.37","37.5%","-0.83%","0.95","逐步减仓，锁定利润，警惕反转"
"2025-07-01 15:00:00","偏强整理阶段","中低","8.7","9.6","9.3","7.5","5.9","1.47","1.45","51.3%","0.09%","1.00","持股观望，等待明确信号"
"2025-06-30 15:00:00","偏强整理阶段","中低","9.2","9.5","9.7","8.4","7.6","1.49","1.47","78.7%","1.08%","1.02","持股观望，等待明确信号"
"2025-06-27 15:00:00","中性震荡阶段","中等","8.3","9.4","9.4","6.7","3.6","1.54","1.54","66.1%","0.04%","1.18","观望为主，等待方向选择"
"2025-06-26 15:00:00","偏强整理阶段","中低","8.6","8.9","9.1","8.9","5.1","1.58","1.58","30.9%","-0.59%","1.25","持股观望，等待明确信号"
"2025-06-25 15:00:00","趋势加速阶段","中等","8.8","8.3","9.0","9.3","9.5","1.60","1.67","75.7%","1.69%","1.32","持有观察，注意过热信号，可部分止盈"
"2025-06-23 15:00:00","趋势反转确认阶段","高","2.4","1.5","2.0","3.4","4.8","1.12","1.13","83.7%","0.74%","0.95","清仓离场，等待机会，不抄底"
"2025-06-20 15:00:00","极端下跌阶段","极高","1.0","1.1","1.3","0.5","1.0","1.07","1.05","30.1%","-0.48%","0.84","空仓观望，可小仓位博弈超跌反弹（严格止损）"
"2025-06-19 15:00:00","极端下跌阶段","极高","1.6","1.8","2.2","0.7","0.7","1.25","1.27","13.5%","-1.07%","0.96","空仓观望，可小仓位博弈超跌反弹（严格止损）"
"2025-06-18 15:00:00","趋势反转确认阶段","高","4.2","4.0","4.2","4.3","4.9","1.19","1.19","34.6%","0.29%","0.90","清仓离场，等待机会，不抄底"
"2025-06-17 15:00:00","趋势反转确认阶段","高","3.4","4.0","3.8","2.1","2.2","1.21","1.21","44.1%","-0.28%","0.91","清仓离场，等待机会，不抄底"
"2025-06-16 15:00:00","中性震荡阶段","中等","4.3","5.0","4.9","2.8","2.7","1.22","1.17","68.3%","0.49%","0.91","观望为主，等待方向选择"
"2025-06-13 15:00:00","趋势反转确认阶段","高","3.5","4.8","4.2","1.4","0.9","1.47","1.47","15.8%","-1.09%","1.18","清仓离场，等待机会，不抄底"
"2025-06-12 15:00:00","中性震荡阶段","中等","6.6","6.1","6.5","8.3","5.2","1.27","1.30","44.5%","0.05%","1.02","观望为主，等待方向选择"
"2025-06-11 15:00:00","中性震荡阶段","中等","6.7","5.9","6.7","8.2","6.6","1.26","1.23","66.2%","0.58%","1.01","观望为主，等待方向选择"
"2025-06-10 15:00:00","中性震荡阶段","中等","5.0","4.8","5.5","6.6","1.3","1.42","1.48","23.5%","-0.95%","1.18","观望为主，等待方向选择"
"2025-06-09 15:00:00","中性震荡阶段","中等","6.9","5.3","7.3","9.0","8.3","0.82","1.28","78.8%","0.80%","1.09","观望为主，等待方向选择"
"2025-06-04 15:00:00","中性震荡阶段","中等","4.7","3.7","4.2","5.7","8.1","0.22","1.16","76.5%","0.69%","1.06","观望为主，等待方向选择"
"2025-05-30 15:00:00","单边下跌阶段","极高","2.8","3.2","3.1","2.1","2.1","1.14","1.09","21.5%","-0.89%","1.04","空仓观望，严格止损"
"2025-05-29 15:00:00","偏弱整理阶段","中高","3.8","3.6","3.7","3.7","5.2","1.19","1.21","84.0%","1.45%","1.08","轻仓观望，等待明确信号"
"2025-04-29 15:00:00","单边下跌阶段","极高","3.4","3.4","3.2","3.7","3.4","0.43","1.01","67.8%","-0.37%","0.93","空仓观望，严格止损"
