  📦 中证500 箱体: 7870/6615 (基于 2025-12-08~2025-12-31 共18根日线)
═══════════════════════════════════════════════════════════════════
  V3.2 双周期信号检测  中证500
  箱体: 7869.81 / 6614.52
  30min K线: 840根,  5min K线: 5000根
═══════════════════════════════════════════════════════════════════

  30min 趋势层 (211 次变化)
  时间             趋势         信号
  03-17 10:00    🔴看空        🔴反弹结束
  03-18 11:30    🟢看多        🟢止跌上涨
  03-19 10:00    🔴看空        🔴反弹结束
  03-19 11:00    🟢看多        🟢止跌上涨
  03-19 14:00    🟢看多        🟢止跌上涨
  03-20 10:00    🔴看空        ⚡MA翻空
  03-20 11:30    🟢看多        🟢止跌上涨
  03-23 10:00    🟢看多        🟢止跌上涨
  03-24 10:00    🔴看空        ⚡MA翻空
  03-24 10:30    🟢看多        🟢止跌上涨
  03-24 13:30    🔴看空        🔴反弹结束
  03-25 10:00    🟢看多        ⚡MA翻正
  03-25 10:30    🔴看空        🔴反弹结束
  03-25 13:30    🟢看多        🟢止跌上涨
  03-25 15:00    🟢看多        🟢止跌上涨
  03-26 10:30    🔴看空        🔴反弹结束
  03-26 15:00    🟢看多        🟢止跌上涨
  03-27 14:00    🔴看空        🔴反弹结束
  03-27 15:00    🟢看多        🟢止跌上涨
  03-30 10:00    🔴看空        ⚡MA翻空
  03-30 11:30    🟢看多        ⚡MA翻正
  03-30 13:30    🔴看空        🔴反弹结束
  03-31 10:00    🟢看多        ⚡MA翻正
  03-31 10:30    🔴看空        🔴反弹结束
  03-31 13:30    🟢看多        🟢止跌上涨
  04-01 11:00    🟢看多        🟢止跌上涨
  04-02 10:00    🔴看空        🔴反弹结束
  04-02 11:00    🟢看多        🟢止跌上涨
  04-02 14:30    🟢看多        🟢止跌上涨
  04-03 10:00    🔴看空        ⚡MA翻空
  04-03 14:00    🟢看多        🟢止跌上涨
  04-07 10:00    🟢看多        🟢止跌上涨
  04-07 11:30    🔴看空        ⚡MA翻空
  04-07 14:00    🟢看多        🟢止跌上涨
  04-09 11:30    🔴看空        🔴反弹结束
  04-09 14:00    🟢看多        🟢止跌上涨
  04-10 10:30    🔴看空        🔴反弹结束
  04-10 14:00    🟢看多        🟢止跌上涨
  04-13 10:00    🟢看多        🟢止跌上涨
  04-14 11:00    🔴看空        🔴反弹结束
  04-15 10:00    🔴看空        🔴反弹结束
  04-15 11:30    🟢看多        🟢止跌上涨
  04-16 10:00    🟢看多        🟢止跌上涨
  04-16 13:30    🔴看空        🔴反弹结束
  04-17 10:00    🟢看多        ⚡MA翻正
  04-17 11:30    🔴看空        🔴反弹结束
  04-17 14:30    🔴看空        🔴反弹结束
  04-20 10:00    🟢看多        ⚡MA翻正
  04-20 14:30    🟢看多        🟢止跌上涨
  04-21 10:00    🔴看空        🔴反弹结束
  04-21 11:00    🟢看多        🟢止跌上涨
  04-23 10:00    🔴看空        🔴反弹结束
  04-23 13:30    🟢看多        🟢止跌上涨
  04-23 14:30    🔴看空        🔴反弹结束
  04-24 11:00    🟢看多        🟢止跌上涨
  04-24 15:00    🔴看空        🔴反弹结束
  04-27 10:30    🟢看多        ⚡MA翻正
  04-27 11:30    🔴看空        🔴反弹结束
  04-28 11:30    🟢看多        🟢止跌上涨
  04-28 15:00    🟢看多        🟢止跌上涨
  04-29 10:00    🔴看空        ⚡MA翻空
  04-29 10:30    🟢看多        ⚡MA翻正
  04-30 10:30    🔴看空        🔴反弹结束
  04-30 11:30    🟢看多        🟢止跌上涨
  05-06 14:30    🔴看空        🔴反弹结束
  05-07 10:00    🟢看多        ⚡MA翻正
  05-07 11:00    🟢看多        🟢止跌上涨
  05-08 10:30    🔴看空        🔴反弹结束
  05-08 13:30    🟢看多        🟢止跌上涨
  05-11 10:00    🔴看空        🔴反弹结束
  05-11 13:30    🔴看空        🔴反弹结束
  05-12 11:00    🟢看多        🟢止跌上涨
  05-13 11:00    🔴看空        🔴反弹结束
  05-14 10:00    🔴看空        🔴反弹结束
  05-14 13:30    🟢看多        🟢止跌上涨
  05-15 10:00    🔴看空        ⚡MA翻空
  05-15 10:30    🟢看多        🟢止跌上涨
  05-15 13:30    🔴看空        🔴反弹结束
  05-15 15:00    🟢看多        🟢止跌上涨
  05-18 11:00    🔴看空        🔴反弹结束
  05-19 11:00    🟢看多        🟢止跌上涨
  05-20 11:00    🔴看空        🔴反弹结束
  05-21 10:00    🟢看多        ⚡MA翻正
  05-21 11:00    🔴看空        🔴反弹结束
  05-21 13:30    🟢看多        🟢止跌上涨
  05-21 14:30    🔴看空        ⚡MA翻空
  05-22 10:00    🟢看多        🟢止跌上涨
  05-25 10:00    🔴看空        🔴反弹结束
  05-25 10:30    🟢看多        ⚡MA翻正
  05-25 11:30    🔴看空        🔴反弹结束
  05-26 10:00    🔴看空        🔴反弹结束
  05-26 10:30    🟢看多        ⚡MA翻正
  05-26 11:00    🔴看空        ⚡MA翻空
  05-26 13:30    🟢看多        🟢止跌上涨
  05-27 11:00    🔴看空        🔴反弹结束
  05-27 13:30    🟢看多        🟢止跌上涨
  05-28 10:00    🔴看空        ⚡MA翻空
  05-28 10:30    🟢看多        🟢止跌上涨
  05-28 13:30    🔴看空        🔴反弹结束
  05-29 11:00    🟢看多        🟢止跌上涨
  05-29 15:00    🟢看多        🟢止跌上涨
  06-01 10:00    🔴看空        ⚡MA翻空
  06-01 11:00    🔴看空        🔴反弹结束
  06-02 10:30    🟢看多        🟢止跌上涨
  06-02 11:30    🔴看空        🔴反弹结束
  06-03 10:00    🟢看多        🟢止跌上涨
  06-03 13:30    🔴看空        🔴反弹结束
  06-03 15:00    🟢看多        🟢止跌上涨
  06-04 10:30    🔴看空        🔴反弹结束
  06-04 13:30    🟢看多        🟢止跌上涨
  06-04 14:30    🔴看空        ⚡MA翻空
  06-05 13:30    🔴看空        🔴反弹结束
  06-08 10:00    🟢看多        🟢止跌上涨
  06-08 14:30    🟢看多        🟢止跌上涨
  06-09 10:00    🔴看空        ⚡MA翻空
  06-09 11:30    🟢看多        🟢止跌上涨
  06-10 10:30    🔴看空        🔴反弹结束
  06-10 11:30    🟢看多        🟢止跌上涨
  06-11 10:00    🔴看空        ⚡MA翻空
  06-11 10:30    🔴看空        🔴反弹结束
  06-12 10:00    🟢看多        ⚡MA翻正

  双周期组合信号
  时间             5min信号       30min趋势    操作             价格  备注
  01-05 11:00    🔴反弹结束        🟢看多        ⏸HOLD     7620.88  30min看多，不卖
  01-06 10:30    🔴反弹结束        🟢看多        ⏸HOLD     7752.43  30min看多，不卖
  01-06 10:45    🟢止跌上涨        🟢看多        ✅BUY      7706.63  
  01-06 13:40    🔴反弹结束        🟢看多        ⏸HOLD     7796.78  30min看多，不卖
  01-06 13:50    🟢止跌上涨        🟢看多        ✅BUY      7754.53  
  01-07 10:00    🔴反弹结束        🟢看多        ⏸HOLD     7891.18  30min看多，不卖
  01-07 10:30    🟢止跌上涨        🔴看空        ⏸HOLD     7848.75  30min看空，不买
  01-07 11:15    🔴反弹结束        🔴看空        ✅SELL     7899.65  ⚠️MA判假下跌
  01-07 13:05    🔴反弹结束        🔴看空        ✅SELL     7903.19  
  01-07 13:55    🟢止跌上涨        🔴看空        ⏸HOLD     7832.92  30min看空，不买
  01-07 14:35    🔴反弹结束        🔴看空        ✅SELL     7875.28  
  01-08 10:25    🔴反弹结束        🟢看多        ⏸HOLD     7904.04  30min看多，不卖
  01-08 13:10    🔴反弹结束        🔴看空        ✅SELL     7933.78  ⚠️MA判假下跌
  01-08 14:00    🟢止跌上涨        🔴看空        ⏸HOLD     7902.01  30min看空，不买
  01-08 14:20    🟢止跌上涨        🔴看空        ⏸HOLD     7849.07  30min看空，不买
  01-09 10:55    🔴反弹结束        🟢看多        ⏸HOLD     8061.81  30min看多，不卖
  01-09 11:15    🟢止跌上涨        🟢看多        ✅BUY      7992.90  
  01-09 13:10    🟢止跌上涨        🔴看空        ⏸HOLD     7980.04  30min看空，不买
  01-09 13:55    🔴反弹结束        🔴看空        ✅SELL     8026.83  
  01-12 09:45    🔴反弹结束        🔴看空        ✅SELL     8132.75  ⚠️MA判假下跌
  01-12 10:25    🔴反弹结束        🟢看多        ⏸HOLD     8168.21  30min看多，不卖
  01-12 10:45    🟢止跌上涨        🟢看多        ✅BUY      8138.63  
  01-12 13:10    🔴反弹结束        🟢看多        ⏸HOLD     8217.76  30min看多，不卖
  01-12 13:30    🟢止跌上涨        🔴看空        ⏸HOLD     8181.65  30min看空，不买
  01-12 14:35    🔴反弹结束        🔴看空        ✅SELL     8261.35  ⚠️MA判假下跌
  01-13 10:10    🔴反弹结束        🟢看多        ⏸HOLD     8245.45  30min看多，不卖
  01-13 10:40    🟢止跌上涨        🟢看多        ✅BUY      8160.48  ⚠️MA判假反弹
  01-13 11:25    🔴反弹结束        🟢看多        ⏸HOLD     8254.66  30min看多，不卖
  01-13 13:40    🟢止跌上涨        🟢看多        ✅BUY      8153.55  ⚠️MA判假反弹
  01-13 14:05    🔴反弹结束        🟢看多        ⏸HOLD     8210.85  30min看多，不卖
  01-13 14:25    🟢止跌上涨        🟢看多        ✅BUY      8163.85  ⚠️MA判假反弹
  01-13 14:55    🟢止跌上涨        🟢看多        ✅BUY      8117.60  ⚠️MA判假反弹
  01-14 09:50    🔴反弹结束        🟢看多        ⏸HOLD     8277.63  30min看多，不卖
  01-14 10:00    🟢止跌上涨        🟢看多        ✅BUY      8226.16  
  01-14 11:25    🔴反弹结束        🟢看多        ⏸HOLD     8365.28  30min看多，不卖
  01-14 13:20    🟢止跌上涨        🟢看多        ✅BUY      8167.28  ⚠️MA判假反弹
  01-14 13:45    🔴反弹结束        🔴看空        ✅SELL     8260.81  
  01-14 14:05    🟢止跌上涨        🔴看空        ⏸HOLD     8123.40  30min看空，不买
  01-14 14:35    🔴反弹结束        🟢看多        ⏸HOLD     8261.22  30min看多，不卖
  01-15 09:35    🟢止跌上涨        🟢看多        ✅BUY      8169.31  
  01-15 10:05    🔴反弹结束        🟢看多        ⏸HOLD     8249.03  30min看多，不卖
  01-15 10:35    🟢止跌上涨        🔴看空        ⏸HOLD     8187.43  30min看空，不买
  01-15 10:45    🔴反弹结束        🔴看空        ✅SELL     8214.56  
  01-15 11:05    🟢止跌上涨        🔴看空        ⏸HOLD     8177.80  30min看空，不买
  01-15 13:15    🟢止跌上涨        🔴看空        ⏸HOLD     8157.10  30min看空，不买
  01-15 13:40    🔴反弹结束        🟢看多        ⏸HOLD     8193.61  30min看多，不卖
  01-15 14:00    🔴反弹结束        🟢看多        ⏸HOLD     8210.62  30min看多，不卖
  01-15 14:25    🟢止跌上涨        🟢看多        ✅BUY      8169.70  
  01-16 09:50    🔴反弹结束        🟢看多        ⏸HOLD     8283.26  30min看多，不卖
  01-16 10:20    🟢止跌上涨        🟢看多        ✅BUY      8221.71  
  01-16 11:15    🔴反弹结束        🔴看空        ✅SELL     8245.46  
  01-16 13:55    🔴反弹结束        🔴看空        ✅SELL     8274.75  ⚠️MA判假下跌
  01-19 09:40    🟢止跌上涨        🔴看空        ⏸HOLD     8202.11  30min看空，不买
  01-19 10:15    🔴反弹结束        🟢看多        ⏸HOLD     8315.88  30min看多，不卖
  01-19 10:50    🟢止跌上涨        🟢看多        ✅BUY      8266.20  
  01-19 11:25    🔴反弹结束        🟢看多        ⏸HOLD     8318.36  30min看多，不卖
  01-19 14:00    🟢止跌上涨        🟢看多        ✅BUY      8268.77  
  01-19 14:40    🔴反弹结束        🟢看多        ⏸HOLD     8291.01  30min看多，不卖
  01-20 10:40    🟢止跌上涨        🔴看空        ⏸HOLD     8166.73  30min看空，不买
  01-20 10:50    🔴反弹结束        🔴看空        ✅SELL     8217.18  
  01-20 11:15    🟢止跌上涨        🟢看多        ✅BUY      8171.74  
  01-20 11:25    🔴反弹结束        🟢看多        ⏸HOLD     8231.15  30min看多，不卖
  01-20 13:10    🟢止跌上涨        🟢看多        ✅BUY      8180.99  ⚠️MA判假反弹
  01-20 13:55    🔴反弹结束        🟢看多        ⏸HOLD     8261.33  30min看多，不卖
  01-20 14:40    🟢止跌上涨        🔴看空        ⏸HOLD     8190.22  30min看空，不买
  01-21 09:50    🔴反弹结束        🔴看空        ✅SELL     8303.24  ⚠️MA判假下跌
  01-21 10:00    🟢止跌上涨        🟢看多        ✅BUY      8267.02  
  01-21 10:35    🔴反弹结束        🟢看多        ⏸HOLD     8336.15  30min看多，不卖
  01-21 11:05    🟢止跌上涨        🔴看空        ⏸HOLD     8305.36  30min看空，不买
  01-21 13:05    🟢止跌上涨        🔴看空        ⏸HOLD     8315.87  30min看空，不买
  01-21 14:15    🔴反弹结束        🔴看空        ✅SELL     8349.88  ⚠️MA判假下跌
  01-22 09:35    🟢止跌上涨        🔴看空        ⏸HOLD     8355.67  30min看空，不买
  01-22 10:10    🟢止跌上涨        🟢看多        ✅BUY      8344.51  
  01-22 13:20    🔴反弹结束        🔴看空        ✅SELL     8369.71  
  01-22 14:55    🟢止跌上涨        🔴看空        ⏸HOLD     8367.77  30min看空，不买
  01-23 09:45    🔴反弹结束        🔴看空        ✅SELL     8460.23  ⚠️MA判假下跌
  01-23 10:20    🔴反弹结束        🟢看多        ⏸HOLD     8510.13  30min看多，不卖
  01-23 10:35    🟢止跌上涨        🟢看多        ✅BUY      8475.61  
  01-23 11:00    🔴反弹结束        🟢看多        ⏸HOLD     8514.74  30min看多，不卖
  01-23 11:15    🔴反弹结束        🟢看多        ⏸HOLD     8526.33  30min看多，不卖
  01-26 09:45    🔴反弹结束        🟢看多        ⏸HOLD     8652.12  30min看多，不卖
  01-26 10:00    🟢止跌上涨        🔴看空        ⏸HOLD     8527.62  30min看空，不买
  01-26 10:15    🔴反弹结束        🔴看空        ✅SELL     8566.75  
  01-26 13:10    🔴反弹结束        🟢看多        ⏸HOLD     8533.74  30min看多，不卖
  01-26 13:50    🟢止跌上涨        🟢看多        ✅BUY      8453.48  ⚠️MA判假反弹
  01-26 14:05    🔴反弹结束        🟢看多        ⏸HOLD     8484.98  30min看多，不卖
  01-26 14:40    🔴反弹结束        🟢看多        ⏸HOLD     8525.90  30min看多，不卖
  01-27 09:35    🟢止跌上涨        🟢看多        ✅BUY      8464.65  ⚠️MA判假反弹
  01-27 10:05    🟢止跌上涨        🔴看空        ⏸HOLD     8368.17  30min看空，不买
  01-27 10:30    🔴反弹结束        🟢看多        ⏸HOLD     8432.34  30min看多，不卖
  01-27 10:50    🔴反弹结束        🟢看多        ⏸HOLD     8480.88  30min看多，不卖
  01-27 11:00    🟢止跌上涨        🟢看多        ✅BUY      8431.02  
  01-27 13:40    🔴反弹结束        🟢看多        ⏸HOLD     8492.04  30min看多，不卖
  01-27 14:10    🔴反弹结束        🟢看多        ⏸HOLD     8572.48  30min看多，不卖
  01-27 14:45    🟢止跌上涨        🔴看空        ⏸HOLD     8526.55  30min看空，不买
  01-28 10:20    🟢止跌上涨        🟢看多        ✅BUY      8532.85  
  01-28 11:10    🟢止跌上涨        🟢看多        ✅BUY      8532.18  
  01-28 13:15    🔴反弹结束        🟢看多        ⏸HOLD     8623.57  30min看多，不卖
  01-28 13:40    🟢止跌上涨        🟢看多        ✅BUY      8559.94  
  01-28 14:40    🔴反弹结束        🟢看多        ⏸HOLD     8633.16  30min看多，不卖
  01-29 09:50    🔴反弹结束        🟢看多        ⏸HOLD     8658.95  30min看多，不卖
  01-29 10:35    🟢止跌上涨        🔴看空        ⏸HOLD     8584.31  30min看空，不买
  01-29 11:05    🔴反弹结束        🔴看空        ✅SELL     8642.16  ⚠️MA判假下跌
  01-29 13:10    🟢止跌上涨        🔴看空        ⏸HOLD     8609.58  30min看空，不买
  01-29 13:35    🟢止跌上涨        🔴看空        ⏸HOLD     8550.65  30min看空，不买
  01-29 13:45    🔴反弹结束        🔴看空        ✅SELL     8589.96  
  01-29 14:05    🟢止跌上涨        🔴看空        ⏸HOLD     8511.94  30min看空，不买
  01-29 14:30    🔴反弹结束        🟢看多        ⏸HOLD     8564.90  30min看多，不卖
  01-30 09:35    🟢止跌上涨        🟢看多        ✅BUY      8439.66  ⚠️MA判假反弹
  01-30 09:50    🟢止跌上涨        🟢看多        ✅BUY      8377.31  ⚠️MA判假反弹
  01-30 10:10    🟢止跌上涨        🔴看空        ⏸HOLD     8309.46  30min看空，不买
  01-30 10:40    🟢止跌上涨        🔴看空        ⏸HOLD     8194.80  30min看空，不买
  01-30 10:55    🔴反弹结束        🔴看空        ✅SELL     8319.96  
  01-30 11:20    🔴反弹结束        🟢看多        ⏸HOLD     8327.88  30min看多，不卖
  01-30 13:35    🔴反弹结束        🟢看多        ⏸HOLD     8406.43  30min看多，不卖
  02-02 09:35    🟢止跌上涨        🔴看空        ⏸HOLD     8279.72  30min看空，不买
  02-02 09:55    🟢止跌上涨        🔴看空        ⏸HOLD     8227.85  30min看空，不买
  02-02 10:15    🔴反弹结束        🔴看空        ✅SELL     8265.98  
  02-02 10:50    🟢止跌上涨        🔴看空        ⏸HOLD     8216.36  30min看空，不买
  02-02 11:15    🟢止跌上涨        🔴看空        ⏸HOLD     8188.49  30min看空，不买
  02-02 11:25    🔴反弹结束        🔴看空        ✅SELL     8226.90  
  02-02 14:00    🟢止跌上涨        🔴看空        ⏸HOLD     8097.22  30min看空，不买
  02-02 14:10    🔴反弹结束        🔴看空        ✅SELL     8170.97  
  02-03 09:35    🟢止跌上涨        🔴看空        ⏸HOLD     8126.60  30min看空，不买
  02-03 09:50    🔴反弹结束        🔴看空        ✅SELL     8179.00  
  02-03 10:20    🟢止跌上涨        🟢看多        ✅BUY      8141.46  
  02-03 10:30    🔴反弹结束        🟢看多        ⏸HOLD     8173.37  30min看多，不卖
  02-03 10:40    🟢止跌上涨        🟢看多        ✅BUY      8117.78  
  02-03 13:15    🔴反弹结束        🟢看多        ⏸HOLD     8180.19  30min看多，不卖
  02-03 14:45    🔴反弹结束        🟢看多        ⏸HOLD     8285.19  30min看多，不卖
  02-04 09:55    🟢止跌上涨        🟢看多        ✅BUY      8207.86  
  02-04 10:15    🔴反弹结束        🔴看空        ✅SELL     8271.42  
  02-04 10:45    🟢止跌上涨        🟢看多        ✅BUY      8232.45  
  02-04 11:10    🟢止跌上涨        🟢看多        ✅BUY      8214.42  ⚠️MA判假反弹
  02-04 13:20    🟢止跌上涨        🟢看多        ✅BUY      8179.36  ⚠️MA判假反弹
  02-04 13:35    🔴反弹结束        🟢看多        ⏸HOLD     8233.07  30min看多，不卖
  02-04 13:45    🟢止跌上涨        🟢看多        ✅BUY      8205.91  
  02-04 14:05    🟢止跌上涨        🟢看多        ✅BUY      8200.28  
  02-04 14:30    🔴反弹结束        🟢看多        ⏸HOLD     8265.14  30min看多，不卖
  02-05 09:45    🔴反弹结束        🟢看多        ⏸HOLD     8223.63  30min看多，不卖
  02-05 10:35    🟢止跌上涨        🔴看空        ⏸HOLD     8111.25  30min看空，不买
  02-05 10:50    🔴反弹结束        🔴看空        ✅SELL     8151.43  
  02-05 11:00    🟢止跌上涨        🔴看空        ⏸HOLD     8086.02  30min看空，不买
  02-05 11:15    🔴反弹结束        🔴看空        ✅SELL     8130.94  
  02-05 13:20    🟢止跌上涨        🔴看空        ⏸HOLD     8081.44  30min看空，不买
  02-05 13:35    🔴反弹结束        🟢看多        ⏸HOLD     8115.96  30min看多，不卖
  02-05 14:00    🔴反弹结束        🟢看多        ⏸HOLD     8164.97  30min看多，不卖
  02-05 14:15    🔴反弹结束        🟢看多        ⏸HOLD     8188.86  30min看多，不卖
  02-05 14:35    🟢止跌上涨        🟢看多        ✅BUY      8148.10  
  02-06 09:40    🟢止跌上涨        🟢看多        ✅BUY      8035.03  ⚠️MA判假反弹
  02-06 10:05    🔴反弹结束        🔴看空        ✅SELL     8110.54  
  02-06 10:40    🔴反弹结束        🟢看多        ⏸HOLD     8236.19  30min看多，不卖
  02-06 11:00    🟢止跌上涨        🟢看多        ✅BUY      8191.39  
  02-06 11:15    🔴反弹结束        🟢看多        ⏸HOLD     8229.31  30min看多，不卖
  02-06 13:15    🔴反弹结束        🟢看多        ⏸HOLD     8236.49  30min看多，不卖
  02-06 13:50    🔴反弹结束        🟢看多        ⏸HOLD     8220.63  30min看多，不卖
  02-06 14:15    🔴反弹结束        🟢看多        ⏸HOLD     8216.80  30min看多，不卖
  02-09 10:00    🟢止跌上涨        🟢看多        ✅BUY      8230.79  
  02-09 11:30    🔴反弹结束        🟢看多        ⏸HOLD     8300.49  30min看多，不卖
  02-10 09:50    🟢止跌上涨        🟢看多        ✅BUY      8258.15  ⚠️MA判假反弹
  02-10 10:00    🔴反弹结束        🔴看空        ✅SELL     8318.11  ⚠️MA判假下跌
  02-10 10:55    🟢止跌上涨        🔴看空        ⏸HOLD     8282.79  30min看空，不买
  02-10 13:10    🔴反弹结束        🔴看空        ✅SELL     8310.51  
  02-11 10:00    🔴反弹结束        🟢看多        ⏸HOLD     8362.43  30min看多，不卖
  02-11 10:10    🟢止跌上涨        🟢看多        ✅BUY      8330.72  
  02-11 11:30    🟢止跌上涨        🟢看多        ✅BUY      8352.77  
  02-12 10:15    🔴反弹结束        🟢看多        ⏸HOLD     8400.87  30min看多，不卖
  02-12 13:10    🔴反弹结束        🟢看多        ⏸HOLD     8419.05  30min看多，不卖
  02-13 09:50    🔴反弹结束        🟢看多        ⏸HOLD     8414.52  30min看多，不卖
  02-13 10:40    🟢止跌上涨        🔴看空        ⏸HOLD     8379.10  30min看空，不买
  02-13 11:00    🔴反弹结束        🔴看空        ✅SELL     8399.23  
  02-13 14:35    🟢止跌上涨        🔴看空        ⏸HOLD     8332.53  30min看空，不买
  02-24 09:50    🟢止跌上涨        🔴看空        ⏸HOLD     8336.32  30min看空，不买
  02-24 10:20    🔴反弹结束        🔴看空        ✅SELL     8410.27  ⚠️MA判假下跌
  02-24 13:55    🟢止跌上涨        🔴看空        ⏸HOLD     8391.58  30min看空，不买
  02-25 09:50    🔴反弹结束        🔴看空        ✅SELL     8457.47  ⚠️MA判假下跌
  02-25 13:35    🔴反弹结束        🟢看多        ⏸HOLD     8548.04  30min看多，不卖
  02-25 14:35    🟢止跌上涨        🔴看空        ⏸HOLD     8492.50  30min看空，不买
  02-26 09:55    🟢止跌上涨        🔴看空        ⏸HOLD     8498.18  30min看空，不买
  02-26 10:25    🔴反弹结束        🟢看多        ⏸HOLD     8547.49  30min看多，不卖
  02-26 10:35    🟢止跌上涨        🟢看多        ✅BUY      8507.85  ⚠️MA判假反弹
  02-26 13:35    🔴反弹结束        🟢看多        ⏸HOLD     8580.99  30min看多，不卖
  02-27 10:35    🔴反弹结束        🟢看多        ⏸HOLD     8606.81  30min看多，不卖
  02-27 11:05    🟢止跌上涨        🔴看空        ⏸HOLD     8590.32  30min看空，不买
  02-27 13:05    🟢止跌上涨        🔴看空        ⏸HOLD     8573.62  30min看空，不买
  02-27 14:20    🔴反弹结束        🟢看多        ⏸HOLD     8642.95  30min看多，不卖
  03-02 10:10    🔴反弹结束        🟢看多        ⏸HOLD     8671.20  30min看多，不卖
  03-02 10:25    🟢止跌上涨        🟢看多        ✅BUY      8563.02  ⚠️MA判假反弹
